# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: Badger
setting:	replacespawns 1
item_ammo_pistol_ttt	1683.193848 607.017029 1.413175	19.480 -0.586 -0.044
item_ammo_pistol_ttt	1005.665344 -219.478912 0.330752	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	992.652588 -229.911713 0.381843	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	3637.019775 1065.459106 8.423307	-0.066 -0.020 -0.020
item_ammo_pistol_ttt	3590.582764 1107.288086 8.370750	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	3611.149170 1122.152954 8.328193	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	3658.960205 1110.902832 9.434519	4.999 -0.144 -5.120
item_ammo_pistol_ttt	3699.014160 1091.898926 8.393572	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	3999.230957 1431.132446 8.364817	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	4007.658447 1478.611450 8.426649	-0.063 -0.020 -0.019
item_ammo_pistol_ttt	3993.672607 1464.973389 8.366825	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	4024.811035 1442.305664 8.345310	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	1010.538025 -1503.782349 0.342975	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	1011.803589 -1526.173950 0.399740	-0.086 -0.020 -0.026
weapon_ttt_explosivegrenade	2393.283447 -1814.641479 60.925694	0.827 14.025 2.739
weapon_ttt_explosivegrenade	369.553986 -884.282471 4.785994	-0.010 0.000 -0.005
weapon_ttt_explosivegrenade	312.192108 81.805511 4.769090	-1.253 0.006 -0.564
weapon_ttt_explosivegrenade	357.051727 1988.966187 4.773051	-0.003 0.000 -0.002
weapon_ttt_explosivegrenade	356.381134 2088.115967 4.776901	-0.005 0.000 -0.002
weapon_ttt_explosivegrenade	1378.390137 3262.475342 4.791155	-0.016 0.000 -0.007
weapon_ttt_explosivegrenade	2719.925537 1835.077148 98.577370	-0.007 0.000 -0.003
weapon_ttt_explosivegrenade	2101.051514 866.228088 264.746246	-0.041 0.000 -0.019
weapon_ttt_explosivegrenade	2545.228027 -580.646606 4.488447	1.118 1.611 -3.897
weapon_zm_pistol	897.737976 2242.796631 0.264300	-0.159 36.021 87.878
weapon_zm_pistol	1015.264282 2395.166016 0.330200	-0.639 37.435 90.954
weapon_zm_pistol	1051.752075 2434.003174 0.262500	-0.162 36.019 87.848
weapon_zm_pistol	1484.498291 1673.844360 23.767401	-1.647 31.958 88.279
weapon_zm_pistol	1837.378784 -876.482605 0.291000	-0.123 36.013 88.324
weapon_zm_pistol	1727.926392 -476.287415 11.795400	-5.444 33.497 89.973
weapon_zm_pistol	2153.896973 -280.338409 54.048901	-0.137 23.480 88.154
weapon_zm_pistol	2309.525879 -734.561829 34.627602	-0.055 35.236 90.160
weapon_zm_pistol	2325.231201 -239.989304 0.373500	0.418 46.968 90.645
weapon_zm_pistol	3598.672119 1086.642212 8.910522	0.815 -37.206 -89.245
weapon_zm_pistol	3654.747559 1044.680786 8.891409	1.022 -37.224 -89.104
weapon_zm_pistol	3654.666748 1100.814575 9.004797	0.452 -36.953 -90.410
weapon_ttt_tmp	2006.518555 448.291656 105.408669	0.118 -23.962 -90.036
weapon_zm_molotov	1956.127075 -1735.756958 7.774700	-1.161 0.447 -2.142
weapon_zm_molotov	1547.447998 -951.867981 4.651800	4.145 0.031 -1.677
weapon_zm_molotov	1572.324341 382.997314 3.740300	2.465 0.079 3.808
weapon_zm_molotov	2319.677002 -337.832306 4.580500	2.953 -0.132 -3.054
weapon_zm_molotov	2369.826172 -872.988525 132.506302	0.271 0.003 0.057
weapon_zm_molotov	2486.814209 721.973694 6.987900	-0.004 -1.025 3.194
weapon_zm_molotov	1921.657593 434.898712 67.832703	-70.201 -122.379 -89.713
weapon_zm_molotov	1144.698730 1222.193115 5.856800	-0.999 -0.009 -1.485
weapon_zm_molotov	971.009277 -426.934296 4.521100	0.488 0.005 -0.180
weapon_zm_molotov	3226.467529 1625.503662 12.575500	3.011 -0.136 -3.099
weapon_zm_molotov	3539.650391 1415.574097 5.828200	0.454 0.697 1.309
weapon_zm_molotov	2717.283447 611.102722 5.862600	-0.179 0.482 2.451
weapon_zm_molotov	1031.083008 -135.847046 128.157379	-1.548 -1.444 -1.576
weapon_zm_molotov	1031.288940 -146.739624 128.156281	-1.572 -1.414 -1.600
weapon_zm_molotov	1030.292725 -156.203003 128.159531	-1.503 -1.457 -1.530
weapon_ttt_confgrenade	982.346191 1102.072510 3.503100	1.744 0.170 -0.446
weapon_ttt_confgrenade	2308.059326 -399.547699 9.512400	2.165 0.246 -0.646
weapon_ttt_confgrenade	3508.916992 -456.451111 18.968901	-4.017 -0.846 2.256
weapon_ttt_confgrenade	1820.505981 448.938812 9.540300	1.726 0.223 -0.515
weapon_ttt_confgrenade	1626.438110 -1990.708252 23.568199	-12.045 34.359 -96.182
weapon_ttt_confgrenade	1722.630127 892.241028 2.570179	38.816 54.310 93.088
weapon_ttt_confgrenade	3361.319580 763.477234 10.194406	-37.254 -48.714 -92.371
weapon_ttt_confgrenade	3367.514648 752.557800 10.125476	-36.201 -49.780 -90.704
weapon_ttt_confgrenade	3374.851074 774.028259 10.134480	-36.339 -49.649 -90.917
weapon_zm_shotgun	1954.707886 -1503.626221 165.893402	-1.789 9.566 92.357
weapon_zm_shotgun	2324.459229 -426.329712 8.852900	-60.646 16.906 -77.154
weapon_zm_shotgun	2096.250244 649.422119 7.916400	-49.343 -41.054 -84.526
weapon_zm_shotgun	1412.801270 1385.918457 56.146599	-1.380 8.894 85.056
weapon_zm_shotgun	2120.353516 2037.457886 9.265500	-0.246 8.298 83.650
weapon_zm_shotgun	2676.503174 676.164185 51.716202	0.208 -32.963 81.537
weapon_zm_sledge	2486.050293 626.941711 7.108100	2.003 20.716 88.416
weapon_zm_sledge	3293.730225 -290.798187 10.160500	18.890 2.099 3.264
weapon_zm_sledge	1740.261475 -457.146088 17.341499	7.949 1.913 6.355
weapon_zm_sledge	753.725403 43.578701 4.424800	18.548 0.302 2.857
weapon_zm_sledge	1520.811157 -1235.202148 52.910801	19.070 2.264 5.500
weapon_zm_revolver	2426.689209 1670.318726 9.888200	2.467 -20.321 -83.195
weapon_zm_revolver	2398.457520 1708.853638 9.886900	2.468 -20.320 -83.165
weapon_zm_revolver	2333.214844 1776.376099 9.904600	2.452 -20.352 -83.562
weapon_zm_revolver	1697.229736 -1593.804932 17.884300	2.471 -20.318 -83.105
weapon_zm_revolver	1875.381226 -1594.840210 17.895700	2.460 -20.339 -83.362
weapon_zm_revolver	2348.049072 1628.469238 2.838600	2.725 -20.041 -83.914
weapon_zm_revolver	4016.390137 1372.206055 8.970530	1.922 -18.794 -85.931
weapon_zm_revolver	2057.078125 1237.932007 1.897992	2.844 -18.107 -84.400
weapon_zm_revolver	337.917175 525.407349 0.970637	2.016 -18.723 -85.767
weapon_zm_revolver	1005.155884 -1579.512939 0.970641	2.020 -18.723 -85.760
weapon_zm_revolver	1536.967041 -1634.056641 150.528778	-0.710 30.196 89.216
weapon_ttt_glock	1883.817261 -566.625916 0.295000	-0.118 36.008 88.392
weapon_ttt_glock	1444.622314 2921.044678 0.293700	-0.119 36.013 88.370
weapon_ttt_glock	2312.508301 -675.310486 34.062500	-0.050 31.643 90.333
weapon_ttt_glock	2634.756592 583.042603 5.046568	0.288 45.340 89.923
weapon_ttt_ak47	2533.969727 697.335693 4.939616	0.105 177.763 -88.439
weapon_ttt_ak47	1670.255737 610.031799 1.086137	-0.132 11.844 -89.752
